"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 12:19:06 CET 2022","Thu Nov 24 12:19:06 CET 2022","357","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithEmptyPasswsord navigate to the login page","Given The userWithEmptyPasswsord navigate to the login page",""
"skipped","Mon Oct 10 12:30:30 CEST 2022","Mon Oct 10 12:30:30 CEST 2022","1","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Nov 24 12:18:56 CET 2022","Thu Nov 24 12:18:56 CET 2022","93","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithFakePassword navigate to the login page","Given The userWithFakePassword navigate to the login page",""
"skipped","Mon Oct 10 12:30:30 CEST 2022","Mon Oct 10 12:30:30 CEST 2022","2","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"broken","Wed Oct 12 11:55:51 CEST 2022","Wed Oct 12 11:55:52 CEST 2022","71","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","When I login with Igard and Igard123","When I login with Igard and Igard123",""
"passed","Sat Nov 12 12:39:57 CET 2022","Sat Nov 12 12:39:58 CET 2022","351","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyCredentials login","When The userWithEmptyCredentials login",""
"skipped","Thu Nov 24 12:19:10 CET 2022","Thu Nov 24 12:19:10 CET 2022","0","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Then System should not allow access to userWithEmptyPasswsord","Then System should not allow access to userWithEmptyPasswsord",""
"passed","Thu Nov 24 12:19:10 CET 2022","Thu Nov 24 12:19:10 CET 2022","230","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithEmptyUserName navigate to the login page","Given The userWithEmptyUserName navigate to the login page",""
"passed","Thu Nov 24 12:18:48 CET 2022","Thu Nov 24 12:18:56 CET 2022","7536","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakeCredentials login","When The userWithFakeCredentials login",""
"passed","Fri Nov 11 17:14:26 CET 2022","Fri Nov 11 17:14:26 CET 2022","0","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","Then I should see a flash message saying <message>","Then I should see a flash message saying <message>",""
"passed","Fri Nov 11 17:14:26 CET 2022","Fri Nov 11 17:14:26 CET 2022","1","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","When I login with Imana and Imana123","When I login with Imana and Imana123",""
"passed","Fri Nov 11 17:14:26 CET 2022","Fri Nov 11 17:14:26 CET 2022","1","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","When I login with Igard and Igard123","When I login with Igard and Igard123",""
"passed","Sat Nov 12 12:39:58 CET 2022","Sat Nov 12 12:39:59 CET 2022","384","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithEmptyUserName login","When The userWithEmptyUserName login",""
"passed","Sat Nov 12 12:39:57 CET 2022","Sat Nov 12 12:39:57 CET 2022","390","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakeUserName login","When The userWithFakeUserName login",""
"passed","Fri Nov 11 17:14:26 CET 2022","Fri Nov 11 17:14:26 CET 2022","1","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","","",""
"passed","Thu Nov 24 12:19:16 CET 2022","Thu Nov 24 12:19:16 CET 2022","1","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","","",""
"passed","Wed Oct 12 11:55:52 CEST 2022","Wed Oct 12 11:55:52 CEST 2022","9","","Log into Tello mobile application: As a user, I can log into my account","","Log into Tello mobile application: As a user, I can log into my account","Given I am on the login page","Given I am on the login page",""
"passed","Sat Nov 12 12:39:58 CET 2022","Sat Nov 12 12:39:58 CET 2022","63","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithEmptyPasswsord navigate to the login page","Given The userWithEmptyPasswsord navigate to the login page",""
"passed","Sat Nov 12 12:39:56 CET 2022","Sat Nov 12 12:39:57 CET 2022","395","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","When The userWithFakePassword login","When The userWithFakePassword login",""
"passed","Thu Nov 24 12:18:47 CET 2022","Thu Nov 24 12:18:48 CET 2022","825","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithFakeCredentials navigate to the login page","Given The userWithFakeCredentials navigate to the login page",""
"passed","Sat Nov 12 12:39:57 CET 2022","Sat Nov 12 12:39:57 CET 2022","46","","Log into Tello mobile application: The User can't log in with non-existing credentials","","Log into Tello mobile application: The User can't log in with non-existing credentials","Given The userWithEmptyCredentials navigate to the login page","Given The userWithEmptyCredentials navigate to the login page",""
